second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
1065,43,56,28,21
1066,40,63,36,24
1067,40,60,37,24
1068,41,58,46,19
1069,42,47,42,20
1070,42,58,39,23
1071,47,54,37,28
1072,37,59,39,26
1073,32,62,41,24
1074,35,58,38,25
1075,33,58,24,23
1076,39,45,26,26
1077,43,46,30,29
1078,44,44,29,34
1079,41,59,24,30
1080,36,56,27,30
1081,43,56,25,28
1082,37,52,25,34
1083,35,52,21,31
1084,32,49,24,28
1085,35,46,27,28
1086,43,48,31,27
1087,36,53,25,22
1088,27,46,29,23
1089,29,51,32,22
1090,40,48,24,34
1091,36,50,24,31
1092,42,54,24,25
1093,41,57,32,25
1094,45,53,24,28
1095,42,52,32,24
1096,39,56,33,18
1097,37,46,26,17
1098,39,62,29,17
1099,34,45,25,18
1100,35,45,28,19
1101,34,56,34,19
1102,46,64,22,20
1103,43,47,20,24
1104,41,45,19,22
1105,41,48,22,23
1106,42,40,17,21
1107,48,54,19,24
1108,35,50,24,27
1109,40,50,22,25
1110,41,55,25,21
1111,44,48,25,19
1112,36,47,25,17
1113,37,40,27,12
1114,47,49,25,14
1115,46,40,36,13
1116,40,37,31,18
1117,41,43,20,15
1118,32,54,24,17
1119,34,50,25,20
1120,38,57,23,24
1121,28,51,19,32
1122,39,41,23,31
1123,40,52,27,28
1124,24,51,23,27
1125,39,50,23,20
1126,34,45,20,26
1127,36,55,22,21
1128,36,47,29,25
1129,40,43,26,25
1130,45,43,32,24
1131,41,37,35,20
1132,45,44,35,18
1133,48,47,37,20
1134,44,47,34,24
1135,45,41,26,28
1136,45,40,25,30
1137,33,53,24,31
1138,37,53,21,29
1139,32,46,24,28
1140,41,41,22,28
1141,30,39,21,29
1142,38,48,20,31
1143,28,48,21,23
1144,34,43,22,30
1145,28,57,20,32
1146,38,54,18,28
1147,48,55,23,33
1148,34,56,18,27
1149,47,57,20,16
1150,50,60,19,20
1151,53,60,18,16
1152,50,55,18,22
1153,60,56,21,16
1154,49,52,21,18
1155,40,50,21,24
1156,41,43,22,17
1157,52,39,25,23
1158,43,46,29,22
1159,39,46,31,18
1160,40,40,25,21
1161,36,44,19,23
1162,45,46,20,22
1163,43,53,23,24
1164,44,39,17,26
1165,54,46,20,29
1166,37,56,24,30
1167,47,45,21,30
1168,43,44,21,24
1169,44,37,22,33
1170,46,40,22,33
1171,47,43,21,26
1172,43,46,20,30
1173,41,39,19,29
1174,48,54,22,29
1175,49,51,16,31
1176,42,58,15,31
1177,40,54,17,24
1178,46,48,20,25
1179,50,58,19,23
1180,45,50,22,24
1181,46,57,25,26
1182,38,57,19,22
1183,35,58,23,23
1184,49,51,28,22
1185,63,48,22,29
1186,48,52,26,25
1187,43,57,21,26
1188,39,46,27,24
1189,41,54,19,22
1190,36,48,23,20
1191,45,46,24,24
1192,31,58,24,24
1193,45,66,25,22
1194,40,68,20,24
1195,43,58,19,18
1196,30,70,25,24
1197,43,74,23,21
1198,46,72,24,27
1199,47,78,23,25
1200,44,60,25,28
1201,45,71,24,24
1202,49,71,22,22
1203,38,75,26,23
1204,49,66,22,23
1205,47,74,20,25
1206,48,53,18,25
1207,38,60,21,31
1208,35,45,23,29
1209,35,50,22,27
1210,43,48,19,26
1211,40,45,19,27
1212,43,37,20,26
1213,45,58,23,26
1214,46,55,14,20
1215,40,48,21,30
1216,54,48,18,24
1217,63,44,18,33
1218,48,51,22,27
1219,45,49,23,27
1220,35,52,26,28
1221,43,55,25,27
1222,47,51,26,25
1223,43,60,28,28
1224,46,59,23,29
1225,41,56,25,26
1226,42,55,21,24
1227,47,54,21,20
1228,47,56,19,26
1229,51,55,18,27
1230,41,46,18,31
1231,46,46,14,30
1232,49,64,18,25
1233,47,54,22,29
1234,48,52,18,40
1235,42,41,23,29
1236,46,44,14,32
1237,41,55,16,34
1238,34,40,13,26
1239,37,45,21,26
1240,50,54,24,22
1241,40,55,26,27
1242,43,53,22,32
1243,39,48,21,27
1244,46,52,24,25
1245,46,51,28,41
1246,48,58,19,29
1247,48,55,18,35
1248,47,55,14,32
1249,45,46,18,35
1250,41,66,16,28
1251,45,72,18,30
1252,42,62,15,39
1253,41,63,16,45
1254,40,59,19,41
1255,37,61,24,44
1256,39,50,29,44
1257,38,57,31,40
1258,42,54,20,42
1259,39,48,22,40
1260,35,50,20,48
1261,39,56,17,43
1262,41,58,15,50
1263,55,48,19,43
1264,46,40,24,48
1265,40,48,21,41
1266,48,38,18,37
1267,55,41,20,29
1268,45,35,24,33
1269,46,44,21,31
1270,37,43,20,37
1271,40,39,13,38
1272,40,44,12,38
1273,52,32,11,38
1274,45,39,11,38
1275,38,43,14,33
1276,36,37,12,37
1277,43,34,13,34
1278,43,40,14,39
1279,39,51,17,39
1280,40,48,13,36
1281,46,49,17,36
1282,42,45,18,37
1283,48,39,18,40
1284,47,45,19,39
1285,43,48,17,33
1286,49,37,16,39
1287,43,44,12,38
1288,43,53,11,38
1289,43,45,13,36
1290,47,39,16,32
1291,41,41,12,36
